City,Year,Points
Birmingham,1992,1026
Athens,1999,1852
Birmingham,1982,2
Leeds,2000,23757
Birmingham,2022,10348
Montgomery,1984,2821
Huntsville,2024,89
Gadsden,1973,158
Birmingham,1965,2282
Mobile,2003,3368
Birmingham,2020,5150
Huntsville,1986,242
Mobile,2005,12884
Mobile,2022,12802
Anniston,2005,2986
Montgomery,2024,35
Mobile,1989,36
Town Creek,1983,452
Leighton,1983,3587
Vredenburgh,1985,15291
Birmingham,1991,5033
Dothan,1994,715
Dothan,2024,418
Birmingham,1986,1562
Birmingham,2012,56
Montgomery,1989,8
Clayton,1976,2767
Hanceville,1948,363
Montgomery,2023,4208
Birmingham,1975,2133
Luverne,2021,112
Birmingham,1997,467
Covin,1948,394
Knoxville,1982,1410
Birmingham,1984,1396
Montgomery,1982,1099
Andalusia,2008,7715
Birmingham,1969,88
Tuskegee,1994,38
Centreville,1998,1292
Birmingham,2024,171
Birmingham,1993,4617
Tuskegee,1986,263
Birmingham,1990,46
Birmingham,2024,64
Fort Rucker,1986,3257
Tuscaloosa,2024,2228
Perry,1981,68
Birmingham,1983,12954
Harpersville,1994,247
Tuscaloosa,1993,21
Birmingham,1985,3898
Mobile,2000,329
Mobile,2007,11
Meridianville,2024,687
Birmingham,2020,58
Mobile,1996,17231
Birmingham,1981,4
Mobile,2017,782
Harpersville,1982,17009
Birmingham,1966,3
Phenix City,1985,5439
Mobile,1978,16
Goodwater,2012,1807
Goodwater,2024,98
Birmingham,1977,118
Mobile,1998,1804
Montgomery,1980,180
Brantley,2000,13858
Crenshaw,2005,8192
Birmingham,1983,152
Huntsville,1981,376
Abbeville,2001,440
Selma,1961,103
Demopolis,2011,5809
Birmingham,1983,101
Linden,2000,652
Bessemer,1979,6873
Gadsden,1970,13
Huntsville,2009,8
Birmingham,1947,318
Elba,1969,4
Hartselle,1977,2403
Opelika,2005,3780
Montgomery,2022,6
Birmingham,2022,10
Birmingham,1988,7458
White Hall,2012,6254
Sylacauga,2015,9933
Birmingham,2024,1255
Montgomery,1993,39
Huntsville,2011,154
Birmingham,1997,2150
Tuscaloosa,2014,810
Tuskegee,1987,2387
Patton,1950,128
Demopolis,1980,506
Anchorage,2018,5743
Anchorage,2024,330
Phoenix,1991,2432
Mesa,2024,13
Tempe,2024,3343
Phoenix,2019,4909
Phoenix,2022,12
Phoenix,1995,3319
Tucson,2016,88
Phoenix,1982,417
Tucson,2001,10544
Tempe,2015,74
Phoenix,2024,2276
Tucson,1987,536
Mesa,2012,53
Camp Verde,1950,320
Tempe,2024,265
Phoenix,1989,1078
Scottsdale,2024,1586
Phoenix,2024,159
Phoenix,2022,173
Phoenix,2019,413
El Dorado,2016,1422
Tuckerman,1971,3997
Hot Springs,2022,107
Black Oak,1951,2
Fort Smith,1986,5971
West Memphis,2000,92
Malvern,1958,459
West Memphis,2000,8278
Fordyce,1999,171
Pine Bluff,1991,12455
Conway,1976,11819
Little Rock,1958,5444
Fayetteville,2024,15888
Searcy,1968,36
Crossett,2018,879
Little Rock,2014,10713
El Dorado,2024,2796
Little Rock,2017,1040
Little Rock,2020,20
Hamburg,1987,11
Fort Smith,2024,1678
Little Rock,2022,20407
Plummerville,1981,17
McGehee,1990,10241
McGehee,1998,1826
Malvern,2009,3206
McGhee,1985,1643
McGehee,1978,8482
Pine Bluff,2000,4431
West Memphis,1989,1114
Pine Bluff,1994,10433
Little Rock,2004,567
Little Rock,2020,32
Fort Smith,1986,6
Cherry Valley,1991,956
Cotton Plant,1982,4120
North Little Rock,1972,8120
Little Rock,1991,11931
Jonesboro,2024,5327
Little Rock,2024,1063
Osecola,1997,15
Little Rock,1987,57
Menifee,1999,331
Hamburg,2004,18940
Little Rock,2024,7138
Newark,2024,2577
Fort Smith,2001,4945
Jacksonville,2004,18336
Altheimer,1972,57
Jonesboro,1970,85
Prescott,1980,11782
Jacksonville,2024,302
Blytheville,1987,179
Pine Bluff,1996,18
West Memphis,2016,1189
Fort Smith,2024,564
Russellville,2007,9147
Camden,1970,366
Compton,2009,81
Inglewood,1993,1343
Inglewood,2009,185
Lynwood,1975,3579
Los Angeles,2018,8198
Greenbrae,2013,5
Fresno,1961,261
San Diego,2024,6185
Merced,2014,24505
Los Angeles,1981,59
Ventura,2016,1564
Long Beach,2017,3755
San Pedro,1990,2260
Sacramento,2020,8001
San Diego,2019,13
San Francisco,2004,239
Pasadena,2006,7990
Gridley,2002,3285
Los Angeles,1984,12
Hollywood,1982,3516
Ontario,2016,690
Los Angeles,2000,241
Anaheim,2024,3675
Anaheim,2022,2995
Los Angeles,1989,9953
Oakland,1955,2895
Santa Clara,2017,7589
Oakland,2000,134
Oakland,2006,4715
Long Beach,2003,481
Compton,2004,2
Los Angeles,1971,2257
Los Angeles,2022,593
Compton,2003,835
Los Angeles,2024,74
Walnut Creek,2018,39
Los Angeles,1976,7106
Monrovia,2004,2287
San Bernardino,2001,37
Seaside,2024,36
Merced,2009,5290
Bakersfield,1978,2784
Los Angeles,2007,26
Los Angeles,2012,30
Fresno,2005,46
Lompoc,1986,4081
Eureka,1947,567
French Camp,1998,3317
Bellflower,2018,161
Los Angeles,2018,688
Eureka,1949,4
Oakland,2012,895
Los Angeles,1999,80
Oakland,2015,227
Los Angeles,1981,2
Encinitas,2016,3198
San Diego,2002,2385
San Bernardino,1979,28
Inglewood,1991,76
Los Angeles,2004,1868
San Francisco,1955,3440
Los Angeles,2005,10805
Oceanside,1976,72
Lodi,1995,12713
Hanford,2020,9509
Berkeley,1981,9931
Oakland,2015,15
Harbor City,2014,3548
Bakersfield,2003,3710
Sacramento,2022,2206
Carson,2023,959
Compton,2015,6
Northridge,2011,2095
Northridge,2014,2621
Rancho Cucamonga,2022,8861
Los Angeles,2023,7
Los Angeles,1996,418
